existing_url,title,proposed_new_url,language,content_type,retain,rewrite,merge,remove,available_imagery,available_copy,missing_information,migration_priority,seo_importance,redirect_requirement,factual_confidence
https://www.pappmobility.com/,Papp Mobility | værdiskabende mobilitetsløsninger,/da,da,homepage,yes,yes,no,no,yes,yes,approved English copy; final hero decision,high,high,yes,medium
https://www.pappmobility.com/produkter,Produkter,/da,da,listing,partial,yes,yes,no,yes,yes,final product taxonomy,medium,medium,yes,medium
https://www.pappmobility.com/udstyr,Udstyr,/da/products/sensors; /da/products/cameras,da,product,yes,yes,split,no,yes,yes,technical and privacy claims,high,high,yes,medium
https://www.pappmobility.com/analyse,Analyse,/da/products/insights; /da/services/analysis,da,product-service,yes,yes,split,no,yes,yes,real dashboard screenshots,high,high,yes,medium
https://www.pappmobility.com/r%C3%A5dgivning,Rådgivning,/da/services/consultancy,da,service,yes,yes,no,no,yes,yes,final advisory process,high,medium,yes,medium
https://www.pappmobility.com/projekter,Projekter,/da/projects,da,listing,yes,yes,no,no,yes,yes,project details and outcomes,high,high,yes,medium
https://www.pappmobility.com/app,App,/da/app,da,app,yes,yes,no,no,yes,yes,active store links,medium,medium,yes,medium
https://www.pappmobility.com/om-os,Om os,/da/about,da,company,yes,yes,no,no,yes,yes,team and milestones,medium,medium,yes,medium
https://www.pappmobility.com/kontakt,Kontakt,/da/contact,da,contact,yes,yes,no,no,unknown,yes,form backend destination,high,medium,yes,high
https://www.pappmobility.com/privatlivspolitik,Privatlivspolitik,/da/privacy,da,legal,yes,legal-review,no,no,unknown,yes,legal approval,high,medium,yes,medium
